北京
月份,指数,环比(%),指数,环比(%),指数,环比(%),指数,环比(%)
2020年07月,2450,0.12,2447,0.12,2672,0.34,2144,-0.19
2020年11月,2463,0.16,2464,0.20,2672,0.00,2141,0.00
2020年12月,2466,0.12,2466,0.08,2679,0.26,2142,0.05
2020年04月,2443,0.08,2436,0.21,2672,0.00,2154,-0.92
2020年09月,2458,0.20,2458,0.33,2672,-0.08,2141,0.00
2020年10月,2459,0.04,2459,0.04,2672,0.00,2141,0.00
2020年08月,2453,0.12,2450,0.12,2674,0.08,2141,-0.14
2020年05月,2444,0.04,2439,0.12,2663,-0.34,2148,-0.28
2021年01月,2474,0.32,2477,0.45,2675,-0.15,2148,0.28

成都
月份,指数,环比(%),指数,环比(%),指数,环比(%),指数,环比(%)
,,0.00,,0.00,,0.00,,0.00
2020年06月,1511,0.00,1166,0.00,1559,0.06,4025,0.05
2020年07月,1512,0.07,1167,0.09,1564,0.32,4026,0.03
2020年11月,1516,0.07,1174,0.17,1562,0.00,4016,-0.12
2020年12月,1518,0.13,1175,0.09,1565,0.19,4018,0.05
2020年09月,1515,0.07,1171,0.17,1562,-0.13,4026,-0.03
2020年10月,1515,0.00,1172,0.09,1562,0.00,4021,-0.12
2020年08月,1514,0.13,1169,0.17,1564,0.00,4027,0.03
2021年01月,1519,0.07,1176,0.09,1566,0.06,4019,0.03
2021年02月,1521,0.13,1179,0.26,1567,0.06,4019,0.00

